HMS,StructuredFormula,Temperature,Pressure,crystal_system
I 41/a m d Z,Li0.6Mg0.03Mn0.44Ni0.03O1,293,0.101325,tetragonal
I 41/a m d Z,Li0.45Mg0.03Mn0.34Ni0.14O1,293,0.101325,tetragonal
I 4/m m m,La1.5Sr0.5Mn0.5Cu0.5O4,295,0.101325,tetragonal
I 4/m m m,La1Sr1Mn0.5Cu0.5O4,295,0.101325,tetragonal
I 4/m m m,Pr1Sr1Mn0.5Cu0.5O4,295,0.101325,tetragonal
I 4/m m m,Nd1Sr1Mn0.5Cu0.5O4,295,0.101325,tetragonal
P 4/m b m,Ba2La1Mn1Nb4O15,293,0.101325,tetragonal
P 4/m n c,Cs6Mn1H4O26V8,298,0.101325,tetragonal
I 4/m m m,Mn1Na1.6Sr2O2Se2,300,0.101325,tetragonal
I 4/m m m,Sr2Mn1Na1.66O2Se2,295,0.101325,tetragonal
I 4/m m m,Sr2Mn1Na1.58O2Se2,295,0.101325,tetragonal
I 4/m m m,Sr2Mn1Na1.68O2Se2,295,0.101325,tetragonal
I 4/m m m,La1Sr2Mn1Cr1O6.95,293,0.101325,tetragonal
I 4/m m m,Ba2F2Mn2Se2O1,293,0.101325,tetragonal
I 4/m m m,Pr0.5Sr1.5Cr0.5Mn0.5O4,293,0.101325,tetragonal
I 4/m m m,La0.6Sr1.4Mn0.5Cr0.5O4,293,0.101325,tetragonal
I 4/m m m,La0.7Sr1.3Mn0.5Cr0.5O4,293,0.101325,tetragonal
I 4/m m m,La0.8Sr1.2Mn0.5Cr0.5O4,293,0.101325,tetragonal
I 4/m,Ba1La1Mn1Sb1O6,293,0.101325,tetragonal
I 4/m c m,Sr0.7Ca0.3Ti0.5Mn0.5O3,293,0.101325,tetragonal
I 4/m c m,Sr0.6Ca0.4Ti0.5Mn0.5O3,293,0.101325,tetragonal
I 4/m m m,La0.5Sr1.5Mn0.91Ru0.09O4,300,0.101325,tetragonal
I 4/m m m,La0.5Sr1.5Mn0.83Ru0.17O4,300,0.101325,tetragonal
I 4/m m m,La0.5Sr1.5Mn0.7Ru0.3O4,300,0.101325,tetragonal
I 4/m m m,La0.5Sr1.5Mn0.59Ru0.41O4,300,0.101325,tetragonal
I 4/m m m,La0.5Sr1.5Mn0.5Cr0.5O3.96,293,0.101325,tetragonal
P 4/m m m,Nd1Ba1Co1.5Mn0.5O5.6,293,0.101325,tetragonal
P 4/m m m,Nd1Ba1Co1Mn1O5.62,293,0.101325,tetragonal
P 4/m m m,Y0.5La0.5Ba1Mn2O6,293,0.101325,tetragonal
I 4/m,Ba2Nd0.89Mn0.11Mo1O6,298,0.101325,tetragonal
I 4/m,Ba2Nd0.79Mn0.21Mo1O6,298,0.101325,tetragonal
I 4/m,Ba2Nd0.7Mn0.3Mo1O6,298,0.101325,tetragonal
P 4/n m m Z,Nd1Mn1As1O0.95F0.05,290,0.101325,tetragonal
I 4/m m m,La1.1Bi0.3Sr1.6Mn2O7,293,0.101325,tetragonal
I 4/m m m,Sr2Mn0.5Ir0.5O2.66H1.33,298,0.101325,tetragonal
I 4/m m m,Sr2Mn0.5Ir0.5O3.25H0.75,298,0.101325,tetragonal
I 41/a c d Z,Zr0.94Mg1.55Mn4.45Si1O12,293,0.101325,tetragonal
P 42/n Z,Ce2Mn3Zn1Sb2O12,295,0.101325,tetragonal
P 4/n b m Z,Ce1Mn1.5Co0.5Ge4O12,293,0.101325,tetragonal
P 4/n b m Z,Ce1Mn1Co1Ge4O12,293,0.101325,tetragonal
