UID,Chemical,Time,Temperature,P2O3ratio,Na,Cu,O,Fe,Mn,Ni,Ti,Al,Mg,Zn,Si,Zr,Li,Co,V,Cr,Sn,Sb,Sc,TM_ionic_pot,Na_ionic_pot,O_ionic_pot,cat_pot,TM_ionic_radii,radial_pot,s_valence,p_valence,d_valence,f_valence,final_charge,mean_electronegativity,std_electronegativity,max_electronegativity,min_electronegativity,range_electronegativity,mean_atomic_mass,std_atomic_mass,mean_atomic_radius,std_atomic_radius,mean_atomic_number,mean_oxidation_state,std_oxidation_state,max_oxidation_state,min_oxidation_state,range_oxidation_state,num_unique_ox_states,ionic_size_mismatch,mean_ionic_radius,mean_electronegativity_difference,ionic_character_estimate,electron_density,total_d_electrons,total_f_electrons,num_elements,shannon_entropy,configurational_entropy,total_entropy,atomic_packing_parameter,mean_coordination_number,atomic_radii_vmr
U00003,NaMnO2,12,950,0.8,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.821656050955414,0.8620689655172414,3.1746031746031744,1.0377772896990998,0.785,0.21316810344827591,4.0,8.0,4.0,0.0,0.0,2.34,1.1216282806705613,3.44,0.93,2.51,27.48165357,16.10679009706529,1.1,0.5196152422706632,13.0,0.0,2.1213203435596424,3.0,-2.0,5.0,3.0,0.17519023345086243,1.11625,1.0999999999999999,1.0999999999999999,0.47304285991696243,4.0,0.0,3.0,1.0397207705399178,0.0,1.0397207705399178,6.330711975341562,10.5,0.03069161789656768
U00006,NaCu0.5Mn0.5O2,12,950,1.0,1.0,0.5,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.134499914221993,0.8620689655172414,3.1746031746031744,1.1227305801551104,0.77,0.20909482758620693,4.0,8.0,6.0,0.0,0.0,2.38375,1.096505101447321,3.44,0.93,2.51,28.557647945,18.07260025478067,1.09375,0.5162590798232995,13.5,0.0,2.179449471770337,4.0,-2.0,6.0,4.0,0.18697655546592545,1.1124999999999998,1.05625,1.05625,0.4727280070823774,6.0,0.0,4.0,1.2130075655799042,0.0,1.2130075655799042,6.326414669290534,10.75,0.03496023229390229
U00008,NaFe0.5Mn0.5O2,12,950,1.0,1.0,0.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.821656050955414,0.8620689655172414,3.1746031746031744,1.0377772896990998,0.785,0.21316810344827591,4.0,8.0,4.5,0.0,0.0,2.375,1.1006021079391042,3.44,0.93,2.51,27.595022944999997,16.30165891587677,1.1,0.5196152422706632,13.125,0.0,2.1213203435596424,3.0,-2.0,5.0,3.0,0.17519023345086243,1.11625,1.065,1.065,0.47562924756973785,4.5,0.0,4.0,1.2130075655799042,0.0,1.2130075655799042,6.330711975341562,10.5,0.03069161789656768
U00010,NaMn0.5Ni0.5O2,12,950,1.0,1.0,0.0,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25673428666445,0.8620689655172414,3.1746031746031744,1.1559235347407775,0.7949999999999999,0.21588362068965516,4.0,8.0,5.5,0.0,0.0,2.385,1.095958484615179,3.44,0.93,2.51,27.951072945,16.933643827834285,1.09375,0.5162590798232995,13.375,0.0,2.179449471770337,4.0,-2.0,6.0,4.0,0.18805169659362778,1.11875,1.055,1.055,0.4785147255820308,5.5,0.0,4.0,1.2130075655799042,0.0,1.2130075655799042,6.426806880529873,10.75,0.03536344059174183
U00011,NaCu1/3Fe1/3Mn1/3O2,12,950,0.75,1.0,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.026188407840001,0.8620689655172414,3.1746031746031744,1.0933184038531039,0.7749999999999999,0.21045258620689652,4.0,8.0,5.661000000000001,0.0,0.0,2.392658164541135,1.0905397655164963,3.44,0.93,2.51,28.26710209177294,17.562315060017305,1.09576144036009,0.5174331825251646,13.413353338334582,-0.0007501875468867159,2.159957358677982,4.0,-2.0,6.0,5.0,0.18306383595636402,1.1138347086771692,1.0473418354588644,1.0473418354588644,0.4745482392333951,5.661000000000001,0.0,5.0,1.3140810423161196,0.0,1.3140810423161196,6.328925633110728,10.66766691672918,0.033512368035058554
U00013,NaCu1/3Mn1/3Ni1/3O2,12,950,1.0,1.0,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.226954323361548,0.8620689655172414,3.1746031746031744,1.1478367343611102,0.7551051051051051,0.20505009319664494,4.0,8.0,6.328000000000001,0.0,0.0,2.399319829957489,1.0873219646213617,3.44,0.93,2.51,28.504290688922225,17.948163852360228,1.0915978994748687,0.5151645571910352,13.579894973743436,-0.0010002500625156117,2.178803753484693,4.0,-2.0,6.0,4.0,0.19155396521606166,1.1088647161790446,1.0406801700425103,1.0406801700425103,0.4764509095146144,6.328000000000001,0.0,5.0,1.3140810423161196,0.6931426713396501,2.00722371365577,6.293291444418803,10.66766691672918,0.03669292158999615
U00014,NaFe1/3Mn1/3Ni1/3O2,12,950,1.0,1.0,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.063080805014907,0.8620689655172414,3.1746031746031744,1.103336597913531,0.7616666666666666,0.20683189655172413,4.0,8.0,5.328,0.0,-0.0,2.3934908727181794,1.0901670206383218,3.44,0.93,2.51,27.86302212178044,16.78456064635883,1.09576144036009,0.5174331825251646,13.330082520630157,-0.0007501875468867714,2.1599573586779823,4.0,-2.0,6.0,5.0,0.18742972656133364,1.1105038759689922,1.04650912728182,1.04650912728182,0.4784417372211886,5.328,0.0,5.0,1.3140810423161196,0.0,1.3140810423161196,6.298678746700221,10.66766691672918,0.0351299023988563
U00015,NaCu0.25Fe0.25Mn0.25Ni0.25O2,12,950,0.82,1.0,0.25,2.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1303204020301845,0.8620689655172414,3.1746031746031744,1.121595626413369,0.7625000000000001,0.20705818965517248,4.0,8.0,6.0,0.0,0.0,2.4018749999999995,1.08494941558351,3.44,0.93,2.51,28.3110451325,17.602524815600532,1.09375,0.5162590798232995,13.5,0.0,2.165063509461097,4.0,-2.0,6.0,5.0,0.18766299136072487,1.110625,1.038125,1.038125,0.4768456952690353,6.0,0.0,6.0,1.3862943605198907,0.6931471803599453,2.079441540879836,6.301687389863669,10.625,0.0352173983264555
U00018,Na0.75MnO2,12,950,0.85,0.75,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.358779351649396,0.646551724137931,3.1746031746031744,0.887725536057905,0.75625,0.15402074353448275,4.0,8.0,3.75,0.0,0.0,2.434,1.0956933877686768,3.44,0.93,2.51,27.781112522666668,16.5918390305897,1.0533333333333332,0.5031456603763522,13.133333333333333,5.551115123125783e-17,2.280350850198276,4.0,-2.0,6.0,4.0,0.19366592518255255,1.1056666666666666,1.006,1.006,0.47274324678746465,3.75,0.0,3.0,1.009613757874038,0.5623351444188083,1.5719489022928463,6.259654370233487,10.4,0.03750649057681404
U00021,Na0.75Cu0.5Mn0.5O2,12,950,1.0,0.75,0.5,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.607310859495625,0.646551724137931,3.1746031746031744,0.9383424056515876,0.76419,0.15563783405172416,4.0,8.0,5.7509999999999994,0.0,-0.0,2.4806666666666666,1.0640455295187743,3.44,0.93,2.51,28.928839856,18.606153202915664,1.0466666666666669,0.4988208317845419,13.666666666666668,-0.0002666666666667761,2.3938253756046803,7.0,-2.0,9.0,5.0,0.19646982906811314,1.107784,0.9593333333333333,0.9593333333333333,0.47243281795480424,5.7509999999999994,0.0,4.0,1.194453005923357,0.4494866483477561,1.6439396542711129,6.303702099933348,10.666666666666668,0.0386003937340536
