Element,Ox State
H,1
Li,1
Na,1
K,1
Rb,1
Cs,1
Fr,1
Be,2
Mg,2
Ca,2
Sr,2
Ba,2
Ra,2
Y,3
La,3
Gd,3
Lu,3
Ac,3
Th,4
Lr,3
Zr,4
Hf,4
Zn,2
Cd,2
Hg,2
B,3
Al,3
Ga,3
O,-2
Po,4
F,-1
Cl,-1
Br,-1
I,-1
At,-1
T,2
D,3
Er,3
In,3
Ho,3
