seed,model,test_acc,test_f1,test_prec,test_rec,feature_set
42,etc,0.8596491228070176,0.8605134832902528,0.8636781123932825,0.8596491228070176,oliynyk
42,rfc,0.8640350877192983,0.8656419909552407,0.8700896483105913,0.8640350877192983,oliynyk
42,svc,0.75,0.7517626001650916,0.7634234625024099,0.75,oliynyk
42,lr,0.6798245614035088,0.6761192039585001,0.6823808519748583,0.6798245614035088,oliynyk
123,etc,0.8552631578947368,0.8573804975361136,0.8635043366506214,0.8552631578947368,oliynyk
123,rfc,0.8552631578947368,0.8578101259939053,0.8642129569382474,0.8552631578947368,oliynyk
123,svc,0.75,0.7517626001650916,0.7634234625024099,0.75,oliynyk
123,lr,0.6798245614035088,0.6761192039585001,0.6823808519748583,0.6798245614035088,oliynyk
456,etc,0.8552631578947368,0.8570736775641451,0.863014437134503,0.8552631578947368,oliynyk
456,rfc,0.8640350877192983,0.8662009092546227,0.8713176417665582,0.8640350877192983,oliynyk
456,svc,0.75,0.7517626001650916,0.7634234625024099,0.75,oliynyk
456,lr,0.6798245614035088,0.6761192039585001,0.6823808519748583,0.6798245614035088,oliynyk
789,etc,0.8552631578947368,0.85760407051152,0.8647569698732763,0.8552631578947368,oliynyk
789,rfc,0.8508771929824561,0.8537652115008512,0.859011518671353,0.8508771929824561,oliynyk
789,svc,0.75,0.7517626001650916,0.7634234625024099,0.75,oliynyk
789,lr,0.6798245614035088,0.6761192039585001,0.6823808519748583,0.6798245614035088,oliynyk
1024,etc,0.8640350877192983,0.8655846381952051,0.8705898911501628,0.8640350877192983,oliynyk
1024,rfc,0.8421052631578947,0.846231604862052,0.8547840188707062,0.8421052631578947,oliynyk
1024,svc,0.75,0.7517626001650916,0.7634234625024099,0.75,oliynyk
1024,lr,0.6798245614035088,0.6761192039585001,0.6823808519748583,0.6798245614035088,oliynyk
2024,etc,0.8640350877192983,0.8647312770621557,0.8677728411938938,0.8640350877192983,oliynyk
2024,rfc,0.8640350877192983,0.865833653559498,0.8698480715573079,0.8640350877192983,oliynyk
2024,svc,0.75,0.7517626001650916,0.7634234625024099,0.75,oliynyk
2024,lr,0.6798245614035088,0.6761192039585001,0.6823808519748583,0.6798245614035088,oliynyk
314,etc,0.8508771929824561,0.8528342178486884,0.8604534171968382,0.8508771929824561,oliynyk
314,rfc,0.8596491228070176,0.862001377121527,0.8667726188882019,0.8596491228070176,oliynyk
314,svc,0.75,0.7517626001650916,0.7634234625024099,0.75,oliynyk
314,lr,0.6798245614035088,0.6761192039585001,0.6823808519748583,0.6798245614035088,oliynyk
99,etc,0.8596491228070176,0.8610089565241168,0.8652199978855326,0.8596491228070176,oliynyk
99,rfc,0.8552631578947368,0.8566896555388974,0.8619102082599536,0.8552631578947368,oliynyk
99,svc,0.75,0.7517626001650916,0.7634234625024099,0.75,oliynyk
99,lr,0.6798245614035088,0.6761192039585001,0.6823808519748583,0.6798245614035088,oliynyk
7,etc,0.868421052631579,0.8694738471628976,0.8734464194216518,0.868421052631579,oliynyk
7,rfc,0.8552631578947368,0.8565895986184456,0.8602405954790823,0.8552631578947368,oliynyk
7,svc,0.75,0.7517626001650916,0.7634234625024099,0.75,oliynyk
7,lr,0.6798245614035088,0.6761192039585001,0.6823808519748583,0.6798245614035088,oliynyk
2000,etc,0.8596491228070176,0.8619815670490028,0.8684518579008711,0.8596491228070176,oliynyk
2000,rfc,0.8552631578947368,0.8568129786226766,0.8619436493733394,0.8552631578947368,oliynyk
2000,svc,0.75,0.7517626001650916,0.7634234625024099,0.75,oliynyk
2000,lr,0.6798245614035088,0.6761192039585001,0.6823808519748583,0.6798245614035088,oliynyk
