seed,model,test_acc,test_f1,test_prec,test_rec,feature_set
42,etc,0.868421052631579,0.8695294186219777,0.8722118181096509,0.868421052631579,approx
42,rfc,0.8596491228070176,0.86182754539088,0.8660695820470257,0.8596491228070176,approx
42,svc,0.6622807017543859,0.6664757782486312,0.6817649547168595,0.6622807017543859,approx
42,lr,0.6491228070175439,0.6415829477684611,0.6423944785828268,0.6491228070175439,approx
123,etc,0.8596491228070176,0.8617310848251096,0.8671513587395908,0.8596491228070176,approx
123,rfc,0.8508771929824561,0.8518042119331034,0.8541209308993374,0.8508771929824561,approx
123,svc,0.6622807017543859,0.6664757782486312,0.6817649547168595,0.6622807017543859,approx
123,lr,0.6491228070175439,0.6415829477684611,0.6423944785828268,0.6491228070175439,approx
456,etc,0.8640350877192983,0.8660974891089652,0.8707918179923793,0.8640350877192983,approx
456,rfc,0.8552631578947368,0.8562802577133072,0.8605308262429006,0.8552631578947368,approx
456,svc,0.6622807017543859,0.6664757782486312,0.6817649547168595,0.6622807017543859,approx
456,lr,0.6491228070175439,0.6415829477684611,0.6423944785828268,0.6491228070175439,approx
789,etc,0.8596491228070176,0.8608892280298313,0.863208078760906,0.8596491228070176,approx
789,rfc,0.8508771929824561,0.8535424117519806,0.8599245909093107,0.8508771929824561,approx
789,svc,0.6622807017543859,0.6664757782486312,0.6817649547168595,0.6622807017543859,approx
789,lr,0.6491228070175439,0.6415829477684611,0.6423944785828268,0.6491228070175439,approx
1024,etc,0.8640350877192983,0.8651847772484161,0.8693072424651372,0.8640350877192983,approx
1024,rfc,0.8464912280701754,0.8481703186063095,0.8523707869365851,0.8464912280701754,approx
1024,svc,0.6622807017543859,0.6664757782486312,0.6817649547168595,0.6622807017543859,approx
1024,lr,0.6491228070175439,0.6415829477684611,0.6423944785828268,0.6491228070175439,approx
2024,etc,0.8552631578947368,0.8574324666418192,0.8621062680051619,0.8552631578947368,approx
2024,rfc,0.8552631578947368,0.8569547910628933,0.8609716637770264,0.8552631578947368,approx
2024,svc,0.6622807017543859,0.6664757782486312,0.6817649547168595,0.6622807017543859,approx
2024,lr,0.6491228070175439,0.6415829477684611,0.6423944785828268,0.6491228070175439,approx
314,etc,0.868421052631579,0.8695204883496461,0.8729015769580892,0.868421052631579,approx
314,rfc,0.8596491228070176,0.8599431298116866,0.8620246712351974,0.8596491228070176,approx
314,svc,0.6622807017543859,0.6664757782486312,0.6817649547168595,0.6622807017543859,approx
314,lr,0.6491228070175439,0.6415829477684611,0.6423944785828268,0.6491228070175439,approx
99,etc,0.8640350877192983,0.8658461315591891,0.8701083077461752,0.8640350877192983,approx
99,rfc,0.8508771929824561,0.8522112247344446,0.8557556929349174,0.8508771929824561,approx
99,svc,0.6622807017543859,0.6664757782486312,0.6817649547168595,0.6622807017543859,approx
99,lr,0.6491228070175439,0.6415829477684611,0.6423944785828268,0.6491228070175439,approx
7,etc,0.8640350877192983,0.8651344061988312,0.8688806701651012,0.8640350877192983,approx
7,rfc,0.8552631578947368,0.8574919660072842,0.8625421727395411,0.8552631578947368,approx
7,svc,0.6622807017543859,0.6664757782486312,0.6817649547168595,0.6622807017543859,approx
7,lr,0.6491228070175439,0.6415829477684611,0.6423944785828268,0.6491228070175439,approx
2000,etc,0.8596491228070176,0.8618645055073251,0.8667455364916633,0.8596491228070176,approx
2000,rfc,0.8640350877192983,0.8641510644785518,0.870373156702187,0.8640350877192983,approx
2000,svc,0.6622807017543859,0.6664757782486312,0.6817649547168595,0.6622807017543859,approx
2000,lr,0.6491228070175439,0.6415829477684611,0.6423944785828268,0.6491228070175439,approx
